Model,MAE,MSE,RMSE,MAPE (%),R2,Adjusted R2
LinearRegression,1671.3967025958327,4468105.369405888,2113.789338937513,9.726606893363416,0.9103673715395706,0.9079032442966721
DecisionTree,2286.7070376966335,8131746.873791036,2851.6217971166925,13.104329494317582,0.8368727265781366,0.8323881279960923
RandomForest,1794.1201696105093,5079537.521020937,2253.7829356486254,10.308131320828378,0.8981017093979099,0.8953003818212202
XGBoost,1882.8089322265625,5638385.375041933,2374.528453196957,10.790718371653218,0.8868909169201057,0.8837813888629265
SVR,2975.671229581947,13745502.4895954,3707.4927497697686,18.446450261183266,0.7242577298897421,0.7166771863815563
